'Test''Test1''Spell Name','Description 1','Description 2','Description 3','Description 4','Extra','Mana Drain','WAR','CLR','PAL','RNG','SHD','DRU','MNK','BRD','ROG','SHM','NEC','WIZ','MAG','ENC','Casting Time','Fizzle Time','Recovery Time','Indoor/Outdoor','Location','Skill','Duration','Dur Formula','AoE Duration','Pos/Neg','Category','Attrib 1','Min 1','Max 1','Calc 1','Attrib 2','Min 2','Max 2','Calc 2','Attrib 3','Min 3','Max 3','Calc 3','Attrib 4','Min 4','Max 4','Calc 4','Reagent 1','Quantity 1','Reageant 2','Quantity 2','Reageant 3','Quantity 3','Reageant 4','Quantity 4','Focus 1','Focus 2','Resistance','Target','Resist Adj','Gem','Range','AoE Range','Back Range','Up Range'
'Sight','Increase Magnification by 40% (L20)','Infravision','','','','20','61','61','61','61','61','61','61','61','61','61','61','20','61','61','2.50','2.25','12.0','','None','Divination','0','1','0.0','43','Sense','Magnification','40','0','','Infravision','1','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','25','2104','0','0','0','0',
'Vigilant Spirit','Summons a Spirit Wolf Type 27','','','','SpiritWolf227','400','61','61','61','61','61','61','61','61','61','39','61','61','61','61','11.0','2.25','22.0','','None','Conjuration','0','0','0.0','43','Summoning','Summon Pet','1','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','15','2106','0','0','0','0',
'Greater Summoning: Air','Summons a Air Elemental Type 8','','','','SumAirR8','200','61','61','61','61','61','61','61','61','61','61','61','61','29','61','10.0','2.25','0.0','','None','Conjuration','0','0','0.0','43','Summoning','Summon Pet','1','0','','','0','0','','','0','0','','','0','0','','Malachite','1','','1','','1','','1','Broom of Trilon','','None','Self','25','2106','0','0','0','0',
'Greater Summoning: Fire','Summons a Fire Elemental Type 8','','','','SumFireR8','200','61','61','61','61','61','61','61','61','61','61','61','61','29','61','10.0','2.25','0.0','','None','Conjuration','0','0','0.0','43','Summoning','Summon Pet','1','0','','','0','0','','','0','0','','','0','0','','Malachite','1','','1','','1','','1','Torch of Alna','','None','Self','25','2106','0','0','0','0',
'Greater Summoning: Water','Summons a Water Elemental Type 8','','','','SumWaterR8','200','61','61','61','61','61','61','61','61','61','61','61','61','29','61','10.0','2.25','0.0','','None','Conjuration','0','0','0.0','43','Summoning','Summon Pet','1','0','','','0','0','','','0','0','','','0','0','','Malachite','1','','1','','1','','1','Stein of Ulissa','','None','Self','25','2106','0','0','0','0',
'Greater Summoning: Earth','Summons a Earth Elemental Type 8','','','','SumEarthR8','200','61','61','61','61','61','61','61','61','61','61','61','61','29','61','10.0','2.25','0.0','','None','Conjuration','0','0','0.0','43','Summoning','Summon Pet','1','0','','','0','0','','','0','0','','','0','0','','Malachite','1','','1','','1','','1','Shovel of Ponz','','None','Self','25','2106','0','0','0','0',
'Summoning: Air','Summons a Air Elemental Type 7','','','','SumAirR7','240','61','61','61','61','61','61','61','61','61','61','61','61','24','61','12.0','2.25','0.0','','None','Conjuration','0','0','0.0','43','Summoning','Summon Pet','1','0','','','0','0','','','0','0','','','0','0','','Malachite','1','','1','','1','','1','Broom of Trilon','','None','Self','25','2106','0','0','0','0',
'Summoning: Fire','Summons a Fire Elemental Type 7','','','','SumFireR7','240','61','61','61','61','61','61','61','61','61','61','61','61','24','61','12.0','2.25','0.0','','None','Conjuration','0','0','0.0','43','Summoning','Summon Pet','1','0','','','0','0','','','0','0','','','0','0','','Malachite','1','','1','','1','','1','Torch of Alna','','None','Self','25','2106','0','0','0','0',
'Summoning: Water','Summons a Water Elemental Type 7','','','','SumWaterR7','240','61','61','61','61','61','61','61','61','61','61','61','61','24','61','12.0','2.25','0.0','','None','Conjuration','0','0','0.0','43','Summoning','Summon Pet','1','0','','','0','0','','','0','0','','','0','0','','Malachite','1','','1','','1','','1','Stein of Ulissa','','None','Self','25','2106','0','0','0','0',
'Summoning: Earth','Summons a Earth Elemental Type 7','','','','SumEarthR7','240','61','61','61','61','61','61','61','61','61','61','61','61','24','61','12.0','2.25','0.0','','None','Conjuration','0','0','0.0','43','Summoning','Summon Pet','1','0','','','0','0','','','0','0','','','0','0','','Malachite','1','','1','','1','','1','Shovel of Ponz','','None','Self','25','2106','0','0','0','0',
'West Portal','Teleport to location -3569,-14815 in Western Plains of Karana','','','','qey2hh1','300','61','61','61','61','61','61','61','61','61','61','61','39','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','-3569','0','','','-14815','0','','','36','0','','','0','0','','','1','','1','','1','','1','','','None','Full Group','15','2079','0','100','0','0',
'Ro Portal','Teleport to location 1377,823 in Northern Desert of Ro','','','','nro','300','61','61','61','61','61','61','61','61','61','61','61','39','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','1377','0','','','823','0','','','14','0','','','194','0','','','1','','1','','1','','1','','','None','Full Group','15','2079','0','100','0','0',
'Common Portal','Teleport to location 1,1841 in West Commonlands','','','','commons','300','61','61','61','61','61','61','61','61','61','61','61','39','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','1','0','','','1841','0','','','-13','0','','','384','0','','','1','','1','','1','','1','','','None','Full Group','15','2079','0','100','0','0',
'Cazic Portal','Teleport to location 244,-466 in Lost Temple of Cazic Thule','','','','cazicthule','300','61','61','61','61','61','61','61','61','61','61','61','34','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','244','0','','','-466','0','','','23','0','','','102','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Nek Portal','Teleport to location 432,-772 in Nektulus Forest','','','','nektulos','300','61','61','61','61','61','61','61','61','61','61','61','34','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','432','0','','','-772','0','','','35','0','','','0','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Fay Portal','Teleport to location -2023,-441 in Greater Faydark','','','','gfaydark','300','61','61','61','61','61','61','61','61','61','61','61','29','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','-2023','0','','','-441','0','','','4','0','','','478','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'North Portal','Teleport to location -3685,1209 in Northern Plains of Karana','','','','northkarana','300','61','61','61','61','61','61','61','61','61','61','61','29','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','-3685','0','','','1209','0','','','-5','0','','','256','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Tox Portal','Teleport to location -1510,-916 in Toxxulia Forest','','','','tox','300','61','61','61','61','61','61','61','61','61','61','61','29','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','-1510','0','','','-916','0','','','-33','0','','','243','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Furor','Decrease Hit Points (HP) from 16 (L5) to 19 (L10)','','','','','20','61','5','61','61','61','61','61','61','61','61','61','61','61','61','1.75','2.50','0.0','','None','Evocation','0','0','0.0','44','Striking','Hit Points (HP)','-14','19','min + level /  2','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','25','2119','200','0','0','0',
'Ignite Bones','Decrease Current Hitpoints from 494 (L44) to 500 (L50)','Illusion: Skeleton','Stuns target','','','210','61','61','61','61','61','61','61','61','61','61','44','61','61','61','6.10','2.50','12.0','','None','Evocation','0','5','0.0','44','Combustion','Current Hitpoints','-450','500','min + level','Illusion','60','0','','Stuns','1','0','','','0','0','','','1','','1','','1','','1','','','Fire','All','5','2052','200','1','0','0',
'Circle of Misty','Teleport to location -490,-1896 in Misty Thicket','','','','misty','300','61','61','61','61','61','39','61','61','61','61','61','61','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','-490','0','','','-1896','0','','','131','0','','','332','0','','','1','','1','','1','','1','','','None','Full Group','15','2079','0','100','0','0',
'Circle of Steamfont','Teleport to location -1779,1668 in Steamfont Mountains','','','','steamfont','300','61','61','61','61','61','34','61','61','61','61','61','61','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','-1779','0','','','1668','0','','','-104','0','','','437','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Circle of Feerrott','Teleport to location 367,-1885 in The Feerrott','','','','feerrott','300','61','61','61','61','61','34','61','61','61','61','61','61','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','367','0','','','-1885','0','','','16','0','','','70','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Circle of Ro','Teleport to location -2034,317 in Southern Desert of Ro','','','','sro','300','61','61','61','61','61','34','61','61','61','61','61','61','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','-2034','0','','','317','0','','','-19','0','','','266','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Circle of Lavastorm','Teleport to location 1014,1389 in Lavastorm Mountains','','','','lavastorm','300','61','61','61','61','61','34','61','61','61','61','61','61','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','1014','0','','','1389','0','','','131','0','','','301','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Circle of Butcher','Teleport to location -2135,1984 in Butcherblock Mountains','','','','butcher','300','61','61','61','61','61','29','61','61','61','61','61','61','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','-2135','0','','','1984','0','','','3','0','','','58','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Circle of Toxxulia','Teleport to location 1099,-357 in Toxxulia Forest','','','','tox','300','61','61','61','61','61','29','61','61','61','61','61','61','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','1099','0','','','-357','0','','','-53','0','','','256','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Circle of Commons','Teleport to location 478,1427 in West Commonlands','','','','commons','300','61','61','61','61','61','29','61','61','61','61','61','61','61','61','16.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','478','0','','','1427','0','','','-48','0','','','325','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Circle of Karana','Teleport to location -2706,-1494 in Northern Plains of Karana','','','','northkarana','300','61','61','61','61','61','29','61','61','61','61','61','61','61','61','16.0','2.25','12.0','','None','Alteration','0','0','0.0','43','Group Gate','Teleport','-2706','0','','','-1494','0','','','-4','0','','','209','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Screaming Terror','Stun','Wipe Hate List','','','','60','61','61','61','61','61','61','61','61','61','61','24','61','61','61','2.60','2.25','6.50','','None','Alteration','3','8','0.0','42','Fear','Stun','1','0','','Wipe Hate List','1','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','25','2116','200','0','0','0',
'West Gate','Teleport to location -3569,-14815 in Western Plains of Karana','','','','qey2hh1','150','61','61','61','61','61','61','61','61','61','61','61','24','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','-3569','0','','','-14815','0','','','36','0','','','0','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'Ro Gate','Teleport to location 1377,823 in Northern Desert of Ro','','','','nro','150','61','61','61','61','61','61','61','61','61','61','61','24','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','1377','0','','','823','0','','','14','0','','','194','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'Cazic Gate','Teleport to location 253,-466 in Lost Temple of Cazic Thule','','','','cazicthule','150','61','61','61','61','61','61','61','61','61','61','61','24','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','253','0','','','-466','0','','','23','0','','','102','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'Nek Gate','Teleport to location 432,-772 in Nektulus Forest','','','','nektulos','150','61','61','61','61','61','61','61','61','61','61','61','24','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','432','0','','','-772','0','','','35','0','','','0','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'Common Gate','Teleport to location 1,1841 in West Commonlands','','','','commons','150','61','61','61','61','61','61','61','61','61','61','61','24','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','1','0','','','1841','0','','','-13','0','','','384','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'Fay Gate','Teleport to location -2023,-441 in Greater Faydark','','','','gfaydark','150','61','61','61','61','61','61','61','61','61','61','61','20','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','-2023','0','','','-441','0','','','4','0','','','478','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'North Gate','Teleport to location -3685,1209 in Northern Plains of Karana','','','','northkarana','150','61','61','61','61','61','61','61','61','61','61','61','20','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','-3685','0','','','1209','0','','','-5','0','','','256','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'Tox Gate','Teleport to location -1510,-916 in Toxxulia Forest','','','','tox','150','61','61','61','61','61','61','61','61','61','61','61','20','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','-1510','0','','','-916','0','','','-33','0','','','243','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'Clarify Mana','Summoning Enchanted Mana Vial','','','','','600','61','61','61','61','61','61','61','61','61','61','61','61','61','29','6.0','2.25','0.0','','None','Alteration','0','0','0.0','43','Summoning','Summon Item','10252','0','x 1','','0','0','','','0','0','','','0','0','','Opal','1','Poison Vial','1','','1','','1','','','None','Self','10','2111','0','0','0','0',
'Chill Sight','Ultravision','','','','','75','61','61','61','56','61','61','61','61','61','61','61','39','61','61','5.0','2.25','0.0','','None','Divination','360','3','0.0','43','Sense','Ultravision','1','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','25','2104','0','0','0','0',
'Ring of Misty','Teleport to location -490,-1896 in Misty Thicket','','','','misty','150','61','61','61','61','61','29','61','61','61','61','61','61','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','-490','0','','','-1896','0','','','131','0','','','332','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'Ring of Steamfont','Teleport to location -1779,1668 in Steamfont Mountains','','','','steamfont','150','61','61','61','61','61','24','61','61','61','61','61','61','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','-1779','0','','','1668','0','','','-104','0','','','437','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'Ring of Feerrott','Teleport to location 367,-1885 in The Feerrott','','','','feerrott','150','61','61','61','61','61','24','61','61','61','61','61','61','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','367','0','','','-1885','0','','','16','0','','','70','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'Ring of Ro','Teleport to location -2034,317 in Southern Desert of Ro','','','','sro','150','61','61','61','61','61','24','61','61','61','61','61','61','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','-2034','0','','','317','0','','','-19','0','','','266','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'Ring of Lavastorm','Teleport to location 1014,1389 in Lavastorm Mountains','','','','lavastorm','150','61','61','61','61','61','24','61','61','61','61','61','61','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','1014','0','','','1389','0','','','131','0','','','301','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'Ring of Toxxulia','Teleport to location 1099,-357 in Toxxulia Forest','','','','tox','150','61','61','61','61','61','19','61','61','61','61','61','61','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','1099','0','','','-357','0','','','-53','0','','','256','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'Ring of Butcher','Teleport to location -2135,1984 in Butcherblock Mountains','','','','butcher','150','61','61','61','61','61','19','61','61','61','61','61','61','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','-2135','0','','','1984','0','','','3','0','','','58','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'Ring of Commons','Teleport to location 478,1427 in West Commonlands','','','','commons','150','61','61','61','61','61','19','61','61','61','61','61','61','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','478','0','','','1427','0','','','-48','0','','','325','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'Ring of Karana','Teleport to location -2706,-1494 in Northern Plains of Karana','','','','northkarana','150','61','61','61','61','61','19','61','61','61','61','61','61','61','61','7.0','2.25','10.0','','None','Alteration','0','0','0.0','43','Invisi/Gate','Teleport','-2706','0','','','-1494','0','','','-4','0','','','209','0','','','1','','1','','1','','1','','','None','Self','25','2112','0','0','0','0',
'Gaze','Increase Magnification by 50% (L12)','','','','','15','61','61','61','61','61','61','61','61','61','61','61','12','61','61','2.50','2.25','3.0','','None','Divination','0','1','0.0','43','Sense','Magnification','50','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','25','2115','0','0','0','0',
'Yonder','Shadow Step','','','','','15','61','61','61','61','61','61','61','61','61','61','61','29','61','61','1.0','2.25','5.0','','None','Alteration','0','0','0.0','42','Invisi/Gate','Shadow Step','1','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','25','2112','1500','0','0','0',
'Insidious Malady','Adding 9 Disease counters','Decrease Disease Resist from 49 (L39) to 60 (L50)','','','','60','61','61','61','61','61','61','61','61','61','39','61','61','61','61','1.0','2.50','5.0','','None','Conjuration','0','9','0.0','44','Poison Atk','Disease','9','0','','Disease Resist','-10','60','min + level','','0','0','','','0','0','','','1','','1','','1','','1','','','Disease','All','15','2050','200','0','0','0',
'Insidious Fever','Adding 4 Disease counters','Decrease Disease Resist from 19 (L19) to 35 (L50)','','','','30','61','61','61','61','61','61','61','61','61','19','61','61','61','61','1.0','2.50','5.0','','None','Conjuration','0','9','0.0','44','Poison Atk','Disease','4','0','','Disease Resist','-10','35','min + level /  2','','0','0','','','0','0','','','1','','1','','1','','1','','','Disease','All','25','2050','200','0','0','0',
'Drain Spirit','Decrease Hit Points (HP) from 207 (L39) to 226 (L44) and adds it to yours','','','','','189','61','61','61','61','60','61','61','61','61','61','39','61','61','61','5.30','2.50','0.0','','None','Alteration','0','0','0.0','44','Lifeforce','Hit Points (HP)','-51','226','min + level *  4','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','Drain','15','2116','200','0','0','0',
'Spirit Tap','Decrease Hit Points (HP) from 132 (L29) to 150 (L35) and adds it to yours','','','','','144','61','61','61','61','56','61','61','61','61','61','29','61','61','61','4.0','2.50','0.0','','None','Alteration','0','0','0.0','44','Lifeforce','Hit Points (HP)','-45','150','min + level *  3','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','Drain','20','2116','200','0','0','0',
'Gather Shadows','Invisibility','','','','','35','61','61','61','61','30','61','61','61','61','61','8','61','61','61','5.0','2.25','0.0','','None','Divination','200','3','0.0','42','Invisi/Gate','Invisibility','1','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','25','2104','0','0','0','0',
'Choke','Decrease Current Hitpoints from 18 (L12) to 20 (L16)','Decrease Strength from 7 (L12) to 10 (L18)','Decrease Agility from 7 (L12) to 10 (L18)','DoT for 60 Hit Points (HP) in 5 ticks','','50','61','61','61','61','61','61','61','61','61','61','61','61','61','12','2.25','2.50','0.0','','None','Alteration','5','1','0.0','44','Choking','Current Hitpoints','-12','20','min + level /  2','Strength','-1','10','min + level /  2','Agility','-1','10','min + level /  2','Hit Points (HP)','-12','0','','','1','','1','','1','','1','','','Magic','All','20','2121','200','0','0','0',
'Dizzying Wind','Decrease Hit Points (HP) from 110 (L19) to 122 (L25)','Stuns target','','','','80','61','61','61','61','61','19','61','61','61','61','61','61','61','61','2.75','2.50','12.0','Outdoor','None','Conjuration','0','0','0.0','44','Dizzying','Hit Points (HP)','-72','122','min + level *  2','Stuns','1','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','25','2121','200','0','2','2',
'Thorncoat','','Increase Armor Class (AC) by 32 (L49)','Damage Shield by 5 (L49)','','','175','61','61','61','60','61','49','61','61','61','61','61','61','61','61','2.0','2.25','0.0','','None','Abjuration','0','3','0.0','42','Buffing','Charisma','0','0','','Armor Class (AC)','105','0','','Damage Shield','-5','0','','','0','0','','','1','','1','','1','','1','','','Magic','Self','0','2045','0','0','0','0',
'Spikecoat','','Increase Armor Class (AC) from 24 (L39) to 25 (L44)','Damage Shield by 4 (L39)','','','110','61','61','61','61','61','39','61','61','61','61','61','61','61','61','2.0','2.25','0.0','','None','Abjuration','0','3','0.0','42','Buffing','Charisma','0','0','','Armor Class (AC)','40','84','min + level','Damage Shield','-4','0','','','0','0','','','1','','1','','1','','1','','','Magic','Self','15','2045','0','0','0','0',
'Bramblecoat','','Increase Armor Class (AC) from 17 (L29) to 19 (L34)','Damage Shield by 3 (L29)','','','75','61','61','61','49','61','29','61','61','61','61','61','61','61','61','2.0','2.25','0.0','','None','Abjuration','0','3','0.0','42','Buffing','Charisma','0','0','','Armor Class (AC)','29','63','min + level','Damage Shield','-3','0','','','0','0','','','1','','1','','1','','1','','','Magic','Self','25','2045','0','0','0','0',
'Barbcoat','','Increase Armor Class (AC) from 11 (L19) to 13 (L24)','Damage Shield by 2 (L19)','','','50','61','61','61','30','61','19','61','61','61','61','61','61','61','61','2.0','2.25','0.0','','None','Abjuration','0','3','0.0','42','Buffing','Charisma','0','0','','Armor Class (AC)','18','42','min + level','Damage Shield','-2','0','','','0','0','','','1','','1','','1','','1','','','Magic','Self','25','2045','0','0','0','0',
'Thistlecoat','','Increase Armor Class (AC) from 5 (L9) to 6 (L14)','Damage Shield by 1 (L9)','','','25','61','61','61','15','61','9','61','61','61','61','61','61','61','61','2.0','2.25','0.0','','None','Abjuration','0','3','0.0','42','Buffing','Charisma','0','0','','Armor Class (AC)','7','21','min + level','Damage Shield','-1','0','','','0','0','','','1','','1','','1','','1','','','Magic','Self','25','2045','0','0','0','0',
'Terrorize Animal','Fear','','','','','30','61','61','61','61','61','19','61','61','61','61','61','61','61','61','1.75','2.25','0.0','','None','Alteration','9','1','0.0','44','Fear','Fear','1','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','Animal','25','2116','200','0','0','0',
'Calm Animal','Change Frenzy Radius to 5 feet','Change Reaction Radius to 10 feet','Lower Aggression','','','45','61','61','61','39','61','19','61','61','61','61','61','61','61','61','2.50','2.25','5.0','','None','Alteration','30','8','0.0','44','Calm','Frenzy Radius','5','0','','Reaction Radius','10','0','','Lower Aggression','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','Animal','25','2059','200','0','0','0',
'Ensnare','','Decrease Movement by 55% (L29)','','','','35','61','61','61','51','61','29','61','61','61','61','61','61','61','61','1.75','2.25','4.0','','None','Alteration','0','9','0.0','44','Root','Charisma','0','0','','Movement','-40','55','min + level','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','25','2054','200','0','0','0',
'Affliction','Adding 4 Disease counters','DoT for 126 Hit Points (HP) in 21 ticks','Decrease Current Hitpoints by 30 (L19)','','','75','61','61','61','61','61','61','61','61','61','19','61','61','61','61','2.75','2.50','0.0','','None','Conjuration','21','10','0.0','44','Poison Atk','Disease','4','0','','Hit Points (HP)','-6','0','','Current Hitpoints','-30','0','','','0','0','','','1','','1','','1','','1','','','Disease','All','25','2050','200','0','0','0',
'Blizzard Blast','Decrease Hit Points (HP) from 412 (L44) to 430 (L50)','','','','','200','61','61','61','61','61','61','61','61','61','44','61','61','61','61','5.30','2.50','0.0','','None','Evocation','0','0','0.0','44','Freezing','Hit Points (HP)','-280','430','min + level *  3','','1','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Cold','All','5','2119','200','0','0','0',
'Winter's Roar','Decrease Hit Points (HP) from 251 (L34) to 263 (L40)','','','','','150','61','61','61','61','61','61','61','61','61','34','61','61','61','61','4.0','2.50','0.0','','None','Evocation','0','0','0.0','44','Freezing','Hit Points (HP)','-183','263','min + level *  2','','1','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Cold','All','25','2119','200','0','0','0',
'Frost Strike','Decrease Hit Points (HP) from 137 (L24) to 149 (L30)','','','','','100','61','61','61','61','61','61','61','61','61','24','61','61','61','61','3.10','2.50','0.0','','None','Evocation','0','0','0.0','44','Freezing','Hit Points (HP)','-89','149','min + level *  2','','1','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Cold','All','25','2119','200','0','0','0',
'Togor's Insects','','Decrease Attack Speed for between 49% (L39) to 70% (L60)','','','','175','61','61','61','61','61','61','61','61','61','39','61','61','61','61','5.0','2.25','5.0','','None','Alteration','0','6','0.0','42','Bugs/Misc','Charisma','0','0','','Attack Speed','90','0','min + level','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','15','2054','200','0','0','0',
'Tagar's Insects','','Decrease Attack Speed for between 34% (L29) to 50% (L60)','','','','125','61','61','61','61','61','61','61','61','61','29','61','61','61','61','4.25','2.25','5.0','','None','Alteration','0','6','0.0','42','Bugs/Misc','Charisma','0','0','','Attack Speed','80','0','min + level /  2','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','25','2054','200','0','0','0',
'Walking Sleep','','Decrease Attack Speed for between 23% (L14) to 35% (L60)','','','','60','61','61','61','61','61','61','61','61','61','14','61','61','61','61','3.25','2.25','5.0','','None','Alteration','0','6','0.0','42','Bugs/Misc','Charisma','0','0','','Attack Speed','80','0','min + level /  4','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','25','2054','200','0','0','0',
'Frenzied Strength','Increase Strength from 51 (L34) to 60 (L60)','','','','','90','61','34','52','61','61','61','61','61','61','61','61','61','61','61','3.0','2.25','6.0','','None','Alteration','30','3','0.0','43','Attributes','Strength','40','0','min + level /  3','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','All','25','2124','100','0','0','0',
'Tishan's Clash','Stuns target for 5.0 (L20) seconds','Decrease Hit Points (HP) from 30 (L20) to 50 (L40)','','','','65','61','61','61','61','61','61','61','61','61','61','61','20','61','61','2.50','2.50','18.0','','None','Evocation','0','0','0.0','44','Stun','Stuns','5000','0','','Hit Points (HP)','-10','50','min + level','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','25','2119','200','0','0','0',
'Lifespike','Decrease Hit Points (HP) from 9 (L4) to 11 (L8) and adds it to yours','','','','','18','61','61','61','61','15','61','61','61','61','61','4','61','61','61','1.75','2.50','0.0','','None','Alteration','0','0','0.0','44','Lifeforce','Hit Points (HP)','-7','11','min + level /  2','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','Drain','20','2116','200','0','0','0',
